Category,Item Description,Year 1 (USD),Year 2 (USD),Year 3 (USD),Year 5 (USD)
Revenue,B2C Family Protection Plan ($4.99/mo),59880,299400,1197600,4790400
Revenue,B2B Campus Safety License ($1500/yr),7500,45000,225000,1125000
Total Revenue,Combined Gross Revenue,67380,344400,1422600,5915400
Expense,Cloud Server Infrastructure (AWS/Firebase),4800,14400,48000,144000
Expense,Google Gemini Multimodal AI API Fees,1200,4800,18000,54000
Expense,Telephony SMS Gateway (Twilio Co-Dispatch),1500,6000,24000,72000
Expense,Developer & Security Certification Accounts,300,1200,3600,12000
Total Expenses,Combined Operating Expenses,7800,26400,93600,282000
Net Profit,Net Operating Profit (Pro Forma),59580,318000,1329000,5633400
Margin,Net Operating Profit Margin,88.4%,92.3%,93.4%,95.2%
